JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
22              20              1               119             NR:NM           
23              30              0               109             NR:NM           
8               1               9               46              NR:M            
10              10              22              67              NR:NM           
5               6               41              12              NR:NM           
9               37              1               25              NR:NM           
17              7               6               24              NR:NM           
23              32              27              114             NR:NM           
8               32              12              55              NR:NM           
7               14              18              56              NR:NM           
11              25              27              26              NR:NM           
10              36              4               21              NR:NM           
9               9               34              97              NR:NM           
1               0               1               38              NR:NM           
23              0               34              109             NR:NM           
7               46              72              58              NR:NM           
5               10              25              20              NR:NM           
22              13              23              127             NR:NM           
4               4               30              35              NR:NM           
7               18              11              56              NR:NM           
11              11              17              84              NR:NM           
5               12              55              42              NR:NM           
17              3               0               11              NR:M            
4               6               18              101             NR:NM           
8               9               16              46              NR:NM           
23              27              18              114             NR:NM           
11              26              16              10              NR:NM           
1               8               5               16              NR:M            
22              1               11              119             NR:NM           
7               48              79              53              NR:NM           
10              44              17              57              NR:NM           
5               13              45              19              NR:NM           
9               1               17              25              NR:NM           
23              33              31              112             NR:NM           
8               12              25              55              NR:NM           
11              17              21              84              NR:NM           
7               50              87              13              NR:NM           
10              4               18              21              NR:M            
17              6               4               24              NR:NM           
8               16              31              46              NR:NM           
11              16              22              10              NR:NM           
5               14              3               78              NR:NM           
10              17              5               57              NR:NM           
22              25              27              120             NR:NM           
23              18              21              114             NR:NM           
4               22              14              74              NR:NM           
11              21              17              84              NR:NM           
7               52              43              92              NR:NM           
9               34              12              97              NR:NM           
1               9               8               0               NR:NM           
23              34              39              109             NR:NM           
10              18              24              21              NR:NM           
9               17              20              25              NR:NM           
17              0               7               11              NR:NM           
22              11              17              119             NR:NM           
8               25              1               55              NR:NM           
4               18              37              101             NR:NM           
10              5               28              57              NR:NM           
9               12              30              97              NR:NM           
22              23              16              127             NR:NM           
8               31              23              46              NR:NM           
5               22              47              62              NR:NM           
9               20              23              25              NR:NM           
17              4               3               24              NR:NM           
1               1               9               38              NR:NM           
11              27              12              26              NR:NM           
4               14              1               74              NR:NM           
5               3               7               78              NR:NM           
7               55              8               6               NR:NM           
8               6               32              7               NR:M            
1               8               11              0               NR:NM           
9               30              19              97              NR:NM           
22              17              22              119             NR:NM           
21              1               4               110             NR:NM           
11              22              24              10              NR:NM           
4               25              23              96              NR:NM           
21              5               32              17              NR:NM           
8               1               5               55              NR:NM           
21              4               31              110             NR:NM           
5               25              22              20              NR:NM           
10              24              37              21              NR:NM           
7               43              47              92              NR:NM           
9               23              5               25              NR:NM           
1               9               10              38              NR:NM           
21              15              7               109             NR:NM           
11              0               3               76              NR:M            
21              19              12              111             NR:NM           
21              20              6               116             NR:NM           
10              28              8               57              NR:NM           
5               29              67              91              NR:NM           
21              12              42              111             NR:NM           
21              6               18              116             NR:NM           
7               8               7               6               NR:NM           
21              27              9               117             NR:NM           
22              16              17              127             NR:NM           
11              12              28              26              NR:NM           
21              18              40              116             NR:NM           
4               1               33              74              NR:NM           
8               23              6               46              NR:NM           
5               22              38              20              NR:NM           
9               19              24              97              NR:NM           
21              9               12              117             NR:NM           
17              8               0               36              NR:M            
21              31              16              110             NR:NM           
1               11              9               0               NR:NM           
